product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance,visual_flags,cache
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,1,https://sc04.alicdn.com/kf/Hf86a6c5509754eb5b3a3cf88e40690b3o.jpg,320,320,0.86,0.51,0.4386,0.2672,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\9fb63cbce5df7d2f71d5d8247fec70e67037d240.jpg
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,2,https://sc04.alicdn.com/kf/H7196dba6ae3640f883134c6febeeab24t.jpg,320,320,0.92,0.915,0.8418,0.2215,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\0719552add88a4bc2c9d81855efe1744072dffe2.jpg
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,3,https://sc04.alicdn.com/kf/Hadd52dc55814404db8a74c19b90c4409c.jpg,320,320,1.0,1.0,1.0,0.7381,,,EDGE_CROP_OR_FULL_CANVAS;COMPLEX_OR_COLLAGE_BACKGROUND;EDGE_GRAPHIC_OR_DARK_BACKGROUND,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\a134a33d1b169a510f75e05ff65a3da994f720a4.jpg
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,4,https://sc04.alicdn.com/kf/H97af2ef343634e7cbc0a91a9daac8883Y.jpg,320,320,0.9125,0.915,0.8349,0.2226,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\2f11dab27ff924052c225345fe94227407a194ff.jpg
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,5,https://sc04.alicdn.com/kf/H94830f98fbe548f1a98cd90cf0dc7d4dF.jpg,320,320,0.8775,0.9275,0.8139,0.1232,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\5d5c0067b8edaeaa34c74515013d79e834e8ce56.jpg
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,6,https://sc04.alicdn.com/kf/H9fdb4293cdf542f88ff17b487b1a0d13E.jpg,320,320,0.82,0.915,0.7503,0.2302,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\32dd647ecc89e671ffce19a95c96dc251a62fa21.jpg
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,1,https://sc04.alicdn.com/kf/H0ff14ba2593c42e98c1611b0543ece54j.jpg,320,320,0.86,0.68,0.5848,0.3433,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\24e7b3e8fe11900cd94fc55f6fc0d5a657b89bf4.jpg
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,2,https://sc04.alicdn.com/kf/Hdc031a497a614308a4809a400861caecb.jpg,320,320,0.8025,0.7825,0.628,0.6094,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\7cc324b42a30c58c71ec87e9af39b0ec1c73e06f.jpg
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,3,https://sc04.alicdn.com/kf/Hcdfee647aba74bd99675cd1b54bd1340A.jpg,320,320,0.95,0.785,0.7458,0.7403,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\7d7c475629f13b32c19674f6e33e8ac672890233.jpg
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,4,https://sc04.alicdn.com/kf/Hd60882066d24464eafea16dcc899492cr.jpg,320,320,0.95,0.755,0.7173,0.538,,,HEURISTIC_PASS,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\全六图视觉二次审计_2026-09-04\cache\cb603df1b0ce9a1cd7566fb18f18e3882afd2680.jpg
