index,product_id,model_token,title_model_check,hero_machine_risk,family_cluster,local_detail_images,detail_status
1,10000043732626,BQ-014,FAIL,NONE,BQ-014,0,LOCAL_NOT_FOUND_OR_<4
2,10000047221334,811,PASS,NONE,811,0,LOCAL_NOT_FOUND_OR_<4
3,10000047166193,206,PASS,NONE,206,0,LOCAL_NOT_FOUND_OR_<4
4,10000044007878,BQ-018,FAIL,NONE,BQ-018,0,LOCAL_NOT_FOUND_OR_<4
5,1601924345456,T5503,FAIL,NONE,T5503,0,LOCAL_NOT_FOUND_OR_<4
6,1601939752005,A505,PASS,P0_LOW_HERO_OCCUPANCY,A505,6,LOCAL>=4
7,1601939736061,T55836,PASS,NONE,T55836,7,LOCAL>=4
8,1601939722180,A505,PASS,P0_LOW_HERO_OCCUPANCY,A505,6,LOCAL>=4
9,1601939703288,K6116,PASS,P0_LOW_HERO_OCCUPANCY,K6116,6,LOCAL>=4
10,1601939691340,A830,PASS,NONE,A830,6,LOCAL>=4
11,1601939665367,R1218,PASS,P0_LOW_HERO_OCCUPANCY,R1218,10,LOCAL>=4
12,1601939666421,A002,PASS,P0_LOW_HERO_OCCUPANCY,A002,5,LOCAL>=4
13,1601939663432,R1218,PASS,P0_LOW_HERO_OCCUPANCY,R1218,10,LOCAL>=4
14,1601939659415,L1009,PASS,NONE,L1009,5,LOCAL>=4
15,1601939633580,201,PASS,P0_LOW_HERO_OCCUPANCY,201,6,LOCAL>=4
16,1601939608691,201,PASS,P0_LOW_HERO_OCCUPANCY,201,6,LOCAL>=4
17,1601939606858,K6212,PASS,P0_LOW_HERO_OCCUPANCY,K6212,6,LOCAL>=4
18,1601939606805,M8506,PASS,NONE,M8506,7,LOCAL>=4
19,1601939590957,A218,PASS,P0_LOW_HERO_OCCUPANCY,A218,6,LOCAL>=4
20,1601939606803,A002,PASS,P0_LOW_HERO_OCCUPANCY,A002,5,LOCAL>=4
21,11000037600317,T5505,FAIL,NONE,T5505,0,LOCAL_NOT_FOUND_OR_<4
22,1601924755368,155,FAIL,NONE,155,0,LOCAL_NOT_FOUND_OR_<4
23,1601939589876,R1601,PASS,P0_LOW_HERO_OCCUPANCY,R1601,7,LOCAL>=4
24,1601939572948,BQ001,PASS,NONE,BQ001,7,LOCAL>=4
25,10000047356491,AA811,PASS,P0_LOW_HERO_OCCUPANCY,AA811,0,LOCAL_NOT_FOUND_OR_<4
26,10000047201716,9212,PASS,P0_LOW_HERO_OCCUPANCY,9212,0,LOCAL_NOT_FOUND_OR_<4
27,10000046653813,ZX2212,PASS,NONE,ZX2212,0,LOCAL_NOT_FOUND_OR_<4
28,10000047127570,202,PASS,P0_LOW_HERO_OCCUPANCY,202,0,LOCAL_NOT_FOUND_OR_<4
29,10000043763325,BQ-013,FAIL,NONE,BQ-013,0,LOCAL_NOT_FOUND_OR_<4
30,10000043725883,BQ-011,FAIL,P0_LOW_HERO_OCCUPANCY,BQ-011,0,LOCAL_NOT_FOUND_OR_<4
31,1601939754004,ZX2116,PASS,NONE,ZX2116,1,LOCAL_NOT_FOUND_OR_<4
32,10000043744505,BQ-012,FAIL,NONE,BQ-012,0,LOCAL_NOT_FOUND_OR_<4
33,1601939651515,ZX2212,PASS,P0_LOW_HERO_OCCUPANCY,ZX2212,6,LOCAL>=4
34,12000003229472,DZ14546082-A,FAIL,NONE,DZ14546082-A,0,LOCAL_NOT_FOUND_OR_<4
35,1601939751023,ZX2212,PASS,P0_LOW_HERO_OCCUPANCY,ZX2212,6,LOCAL>=4
36,1601939722196,ZX2212,PASS,P0_LOW_HERO_OCCUPANCY,ZX2212,6,LOCAL>=4
37,1601939693331,ZX2116,PASS,P0_LOW_HERO_OCCUPANCY,ZX2116,1,LOCAL_NOT_FOUND_OR_<4
38,1601939667426,ZX2116,PASS,P0_LOW_HERO_OCCUPANCY,ZX2116,1,LOCAL_NOT_FOUND_OR_<4
39,1601939672381,A811,PASS,P0_LOW_HERO_OCCUPANCY,A811,6,LOCAL>=4
40,1601939679363,A811,PASS,P0_LOW_HERO_OCCUPANCY,A811,6,LOCAL>=4
41,1601939749045,A025,PASS,NONE,A025,6,LOCAL>=4
42,1601939615744,A811,PASS,NONE,A811,6,LOCAL>=4
43,1601939607770,A025,PASS,NONE,A025,6,LOCAL>=4
44,1601939721228,A025,PASS,NONE,A025,6,LOCAL>=4
45,1601939720204,BISCUIT,PASS,P0_LOW_HERO_OCCUPANCY,BISCUIT,6,LOCAL>=4
46,1601939625627,BISCUIT,PASS,P0_LOW_HERO_OCCUPANCY,BISCUIT,6,LOCAL>=4
47,1601939616762,K6116,PASS,P0_LOW_HERO_OCCUPANCY,K6116,6,LOCAL>=4
48,1601939705262,BISCUIT,PASS,NONE,BISCUIT,6,LOCAL>=4
49,1601939745065,T5828,PASS,P0_LOW_HERO_OCCUPANCY,T5828,6,LOCAL>=4
50,1601939692338,K6116,PASS,NONE,K6116,6,LOCAL>=4
