productId,encryptedProductId,modelNumber,title,expectedBQ,status,videoTitles,videoIds
1601939651515,AAF2jmk4AOWGex-cDVm7jTxY,BQ032-W1 / ZX2212,Wholesale Regular Fit Knit Lace-Up Casual Walking Shoes Large Size Factory Supply Model ZX2212,032,GENERIC_FACTORY_VIDEO,Beiqiang Footwear Factory Overview 42s,AAHKjmk4AOWGexucDVhQwd_F
12000003229472,AAHcjmk4AOWGexScDcS3aADD,DZ14546082-A,OEM Breathable Mesh Chunky Walking Shoes Lightweight Cushioned Lace-Up Casual Sneakers EU 36-45,,GENERIC_FACTORY_VIDEO,"Footwear Production Process | Making, Checking and Packing",AAGnjmk4AOWGexucDVhQxsS4
1601939751023,AAGyjmk4AOWGex-cDVm7iseM,BQ032-R1 / ZX2212,Regular Fit Knit Lace-Up Casual Walking Shoes Large Size for Large Size Daily Walking and Casual Wear Model ZX2212,032,GENERIC_FACTORY_VIDEO,Beiqiang Footwear Factory Overview 42s,AAHKjmk4AOWGexucDVhQwd_F
1601939722196,AAFejmk4AOWGex-cDVm7ikg3,BQ032-O1 / ZX2212,Custom Logo Regular Fit Knit Lace-Up Casual Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2212,032,GENERIC_FACTORY_VIDEO,Beiqiang Footwear Factory Overview 42s,AAHKjmk4AOWGexucDVhQwd_F
1601939693331,AAGqjmk4AOWGex-cDVm7jdjw,BQ031-W1 / ZX2116,Wholesale Wide Toe Box Knit Lace-Up Walking Shoes Large Size Factory Supply Model ZX2116,031,GENERIC_FACTORY_VIDEO,"Footwear Production Process | Making, Checking and Packing",AAGnjmk4AOWGexucDVhQxsS4
1601939667426,AAFhjmk4AOWGex-cDVm7jX4B,BQ031-R1 / ZX2116,Wide Toe Box Knit Lace-Up Walking Shoes Large Size for Wide Fit Daily Walking Model ZX2116,031,GENERIC_FACTORY_VIDEO,"Footwear Production Process | Making, Checking and Packing",AAGnjmk4AOWGexucDVhQxsS4
1601939672381,AAHKjmk4AOWGex-cDVm7jYre,BQ030-W1 / A811,Wholesale Kids Knit Lace-Up Walking Shoes Factory Supply Model A811,030,GENERIC_FACTORY_VIDEO,Beiqiang_Factory_Workflow_Tips_Vertical_20260828.mp4,AAG2jmk4AOWGexucDVhQxt2u
1601939754004,AAGhjmk4AOWGex-cDVm7isv3,BQ031-O1 / ZX2116,Custom Logo Wide Toe Box Knit Lace-Up Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2116,031,GENERIC_FACTORY_VIDEO,"Footwear Production Process | Making, Checking and Packing",AAGnjmk4AOWGexucDVhQxsS4
1601939679363,AAHxjmk4AOWGex-cDVm7ja9g,BQ030-R1 / A811,Kids Breathable Light Weight Knit Lace-Up Walking Shoes for School and Daily Use Model A811,030,GENERIC_FACTORY_VIDEO,Beiqiang Footwear Factory Overview 42s,AAHKjmk4AOWGexucDVhQwd_F
1601939615744,AAH7jmk4AOWGex-cDVm7jLfj,BQ030-O1 / A811,Custom Logo Kids Knit Lace-Up Walking Shoes OEM ODM Private Label Footwear Supplier Model A811,030,GENERIC_FACTORY_VIDEO,Beiqiang Footwear Factory Overview 42s,AAHKjmk4AOWGexucDVhQwd_F
