source_bq,source_model,product_id,link_code,week_pst,search_impressions,search_clicks,search_ctr,visitors,inquiries,row_id_verified,traffic_detail,decision
BQ011,A002,1601939634522,BQ011-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ011,A002,1601939666421,BQ011-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ011,A002,1601939606803,BQ011-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ022,A2208,1601939641581,BQ022-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ022,A2208,1601939659468,BQ022-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ022,A2208,1601939709218,BQ022-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ030,A811,1601939672381,BQ030-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ030,A811,1601939679363,BQ030-R1,2026-W35,3,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ030,A811,1601939615744,BQ030-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ032,ZX2212,1601939651515,BQ032-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ032,ZX2212,1601939751023,BQ032-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ032,ZX2212,1601939722196,BQ032-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ017,A008,1601939636508,BQ017-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ017,A008,1601939697271,BQ017-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ017,A008,1601939593839,BQ017-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
