"source_bq","source_model","product_id","link_code","source_protection","queue_status","w36_impressions","w36_clicks","w36_ctr","w36_visitors","w36_inquiries","evidence_status","decision"
"BQ009","L1026","1601825074604","SOURCE","PROTECT_SOURCE","MONITORING","43","1","2.33%","21","3","W36_PRODUCT_ADVISOR","READ_ONLY_SOURCE"
"BQ009","L1026","1601939661419","BQ009-R1","N","PUBLIC_QA_PASS","11","1","9.09%","1","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ009","L1026","1601939675350","BQ009-W1","N","PUBLIC_QA_PASS","18","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ009","L1026","1601939721165","BQ009-O1","N","PUBLIC_QA_PASS","21","1","4.76%","1","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ019","A206","1601939616747","BQ019-W1","N","PUBLIC_QA_PASS","11","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ019","A206","1601939602873","BQ019-R1","N","PUBLIC_QA_PASS","13","1","7.69%","1","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ019","A206","1601939695286","BQ019-O1","N","PUBLIC_QA_PASS","10","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ022","A2208","1601939641581","BQ022-W1","N","PUBLIC_QA_PASS","16","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ022","A2208","1601939659468","BQ022-R1","N","PUBLIC_QA_PASS","2","0","0%","0","0","W36_PRODUCT_ADVISOR","LOW_SAMPLE_MONITOR"
"BQ022","A2208","1601939709218","BQ022-O1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ020","A218","1601939712249","BQ020-W1","N","PUBLIC_QA_PASS","6","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ020","A218","1601939590957","BQ020-R1","N","PUBLIC_QA_PASS","","","","","","NOT_IN_EFFECTIVE_LIST","NO_EFFECT_RECORD_POSITIONING_REVIEW"
"BQ020","A218","1601939625613","BQ020-O1","N","PUBLIC_QA_PASS","7","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ021","K6212","1601939606858","BQ021-W1","N","PUBLIC_QA_PASS","6","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ021","K6212","1601939709217","BQ021-R1","N","PUBLIC_QA_PASS","24","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ021","K6212","1601939739115","BQ021-O1","N","PUBLIC_QA_PASS","18","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ001","BQ001","1601939707196","BQ001-W1","N","PUBLIC_QA_PASS","10","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ001","BQ001","1601939727104","BQ001-R1","N","PUBLIC_QA_PASS","6","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ001","BQ001","1601939572948","BQ001-O1","N","PUBLIC_QA_PASS","15","1","6.67%","2","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ023","A505","1601939722180","BQ023-W1","N","PUBLIC_QA_PASS","11","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ023","A505","1601939616754","BQ023-R1","N","PUBLIC_QA_PASS","8","0","0%","0","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ023","A505","1601939752005","BQ023-O1","N","PUBLIC_QA_PASS","16","1","6.25%","1","0","W36_PRODUCT_ADVISOR","PROTECT_TRAFFIC_ENTRY"
"BQ025","A1689","1601939751016","BQ025-R1","N","PUBLIC_QA_PASS","7","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_MONITOR_POSITIONING"
"BQ025","A1689","1601939612707","BQ025-W1","N","PUBLIC_QA_PASS","10","0","0%","2","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
"BQ025","A1689","1601939733108","BQ025-O1","N","PUBLIC_QA_PASS","13","0","0%","1","0","W36_PRODUCT_ADVISOR","D7_WHOLE_CARD_REVIEW"
