source_bq,source_model,source_product_id,source_w35_impressions,source_w35_clicks,source_w35_visitors,extension_baseline_status,next_batch,evidence_file
BQ001,BQ001,10000042821848,23,1,7,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ002,BQ-002,10000042896165,25,0,2,EXACT_W35_DONE,DONE,BATCH3五家族扩展链第35周基线_2026-09-15.csv
BQ003,R1218,10000043200726,1,0,0,EXACT_W35_DONE,DONE,BATCH6两家族扩展链第35周基线_2026-09-15.csv
BQ004,A502,10000043201799,13,0,2,EXACT_W35_DONE,DONE,BATCH3五家族扩展链第35周基线_2026-09-15.csv
BQ005,A503,1601815020244,9,1,2,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ006,M8811,1601814931739,8,0,0,EXACT_W35_DONE,DONE,BATCH4五家族扩展链第35周基线_2026-09-15.csv
BQ007,L0017,1601825070472,13,0,3,EXACT_W35_DONE,DONE,BATCH3五家族扩展链第35周基线_2026-09-15.csv
BQ008,L1009,1601825021825,16,2,4,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ009,L1026,1601825074604,69,3,20,EXACT_W35_DONE,DONE,重点五家族扩展链第35周基线_2026-09-15.csv
BQ010,R1601,1601825160204,9,0,2,EXACT_W35_DONE,DONE,BATCH4五家族扩展链第35周基线_2026-09-15.csv
BQ011,A002,10000043725883,6,0,1,EXACT_W35_DONE,DONE,BATCH5五家族扩展链第35周基线_2026-09-15.csv
BQ012,M8506,10000043744505,10,0,0,EXACT_W35_DONE,DONE,BATCH3五家族扩展链第35周基线_2026-09-15.csv
BQ014,A507,10000043732626,8,0,1,EXACT_W35_DONE,DONE,BATCH4五家族扩展链第35周基线_2026-09-15.csv
BQ016,201,10000044021584,13,0,0,EXACT_W35_DONE,DONE,BATCH3五家族扩展链第35周基线_2026-09-15.csv
BQ017,A008,10000044034049,2,0,0,EXACT_W35_DONE,DONE,BATCH5五家族扩展链第35周基线_2026-09-15.csv
BQ018,A116,10000044007878,26,0,0,EXACT_W35_DONE,DONE,重点五家族扩展链第35周基线_2026-09-15.csv
BQ019,A206,10000044041008,33,0,0,EXACT_W35_DONE,DONE,重点五家族扩展链第35周基线_2026-09-15.csv
BQ020,A218,1601839073314,18,1,1,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ021,K6212,1601838963947,23,1,1,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ022,A2208,10000043991998,6,0,0,EXACT_W35_DONE,DONE,BATCH5五家族扩展链第35周基线_2026-09-15.csv
BQ023,A505,10000044004948,16,0,1,EXACT_W35_DONE,DONE,重点五家族扩展链第35周基线_2026-09-15.csv
BQ024,A830,10000044041031,7,0,0,EXACT_W35_DONE,DONE,BATCH4五家族扩展链第35周基线_2026-09-15.csv
BQ025,A1689,10000044024484,32,0,4,EXACT_W35_DONE,DONE,重点五家族扩展链第35周基线_2026-09-15.csv
BQ026,T5828,10000044011929,8,0,0,EXACT_W35_DONE,DONE,BATCH4五家族扩展链第35周基线_2026-09-15.csv
BQ027,K6116,10000044028277,16,1,1,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ028,7212,1601839105416,12,1,5,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ029,A025,1601839062659,1,0,1,EXACT_W35_DONE,DONE,BATCH6两家族扩展链第35周基线_2026-09-15.csv
BQ030,A811,1601839050756,4,0,0,EXACT_W35_DONE,DONE,BATCH5五家族扩展链第35周基线_2026-09-15.csv
BQ031,ZX2116,10000046439033,13,1,1,EXACT_W35_DONE,DONE,其余八个正向源款扩展链第35周基线_2026-09-15.csv
BQ032,ZX2212,10000046653813,3,0,0,EXACT_W35_DONE,DONE,BATCH5五家族扩展链第35周基线_2026-09-15.csv
