source_bq,source_model,product_id,search_impressions,search_clicks,search_ctr,visitors,inquiries,row_id_verified,traffic_anchor,decision
BQ001,BQ001,10000042821848,23,1,4.35%,7,0,Y,Y,源款只读；宽鞋头相关流量锚点
BQ002,BQ-002,10000042896165,25,0,0%,2,0,Y,N,源款只读；扩展链事实基线
BQ003,R1218,10000043200726,1,0,0%,0,0,Y,N,源款只读；低样本基线
BQ004,A502,10000043201799,13,0,0%,2,0,Y,N,源款只读；标题结构错误不在源款改写
BQ005,A503,1601815020244,9,1,11.11%,2,0,Y,Y,源款只读；高CTR流量锚点
BQ006,M8811,1601814931739,8,0,0%,0,0,Y,N,源款只读；扩展链事实基线
BQ007,L0017,1601825070472,13,0,0%,3,0,Y,N,源款只读；有访问无搜索点击
BQ008,L1009,1601825021825,16,2,12.5%,4,0,Y,Y,源款只读；高CTR流量锚点
BQ009,L1026,1601825074604,69,3,4.35%,20,0,Y,Y,源款永久保护；最大流量锚点
BQ010,R1601,1601825160204,9,0,0%,2,0,Y,N,源款只读；有访问无搜索点击
BQ011,A002,10000043725883,6,0,0%,1,0,Y,N,源款只读；扩展链事实基线
BQ012,M8506,10000043744505,10,0,0%,0,0,Y,N,源款只读；扩展链事实基线
BQ014,A507,10000043732626,8,0,0%,1,0,Y,N,源款只读；扩展链事实基线
BQ016,201,10000044021584,13,0,0%,0,0,Y,N,源款只读；童鞋事实基线
BQ017,A008,10000044034049,2,0,0%,0,0,Y,N,源款只读；低样本基线
BQ018,A116,10000044007878,26,0,0%,0,0,Y,N,源款只读；高曝光零点击诊断锚点
BQ019,A206,10000044041008,33,0,0%,0,0,Y,N,近期优化源款只读；高曝光零点击诊断锚点
BQ020,A218,1601839073314,18,1,5.56%,1,0,Y,Y,源款只读；正向点击流量锚点
BQ021,K6212,1601838963947,23,1,4.35%,1,0,Y,Y,源款只读；正向点击流量锚点
BQ022,A2208,10000043991998,6,0,0%,0,0,Y,N,近期优化源款只读；低样本基线
BQ023,A505,10000044004948,16,0,0%,1,0,Y,N,源款只读；搜索心智待扩展链重建
BQ024,A830,10000044041031,7,0,0%,0,0,Y,N,源款只读；四色与36SKU事实基线
BQ025,A1689,10000044024484,32,0,0%,4,0,Y,N,源款只读；高曝光零点击诊断锚点
BQ026,T5828,10000044011929,8,0,0%,0,0,Y,N,源款只读；五色55SKU事实基线
BQ027,K6116,10000044028277,16,1,6.25%,1,0,Y,Y,源款只读；正向点击流量锚点
BQ028,7212,1601839105416,12,1,8.33%,5,0,Y,Y,源款只读；正向点击流量锚点
BQ029,A025,1601839062659,1,0,0%,1,0,Y,N,源款只读；低样本但有访问
BQ030,A811,1601839050756,4,0,0%,0,0,Y,N,源款只读；童鞋低样本基线
BQ031,ZX2116,10000046439033,13,1,7.69%,1,0,Y,Y,源款只读；宽鞋头大码正向点击锚点
BQ032,ZX2212,10000046653813,3,0,0%,0,0,Y,N,源款只读；低样本基线
