source_bq,source_model,product_id,link_code,week_pst,search_impressions,search_clicks,search_ctr,visitors,inquiries,row_id_verified,traffic_detail,decision
BQ001,BQ001,1601939572948,BQ001-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ001,BQ001,1601939727104,BQ001-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ001,BQ001,1601939707196,BQ001-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ005,A503,1601939631570,BQ005-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ005,A503,1601939712176,BQ005-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ005,A503,1601939599850,BQ005-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ008,L1009,1601939659415,BQ008-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ008,L1009,1601939628529,BQ008-R1,2026-W35,1,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ008,L1009,1601939625569,BQ008-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ020,A218,1601939625613,BQ020-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ020,A218,1601939590957,BQ020-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ020,A218,1601939712249,BQ020-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ021,K6212,1601939739115,BQ021-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ021,K6212,1601939709217,BQ021-R1,2026-W35,3,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ021,K6212,1601939606858,BQ021-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ027,K6116,1601939703288,BQ027-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ027,K6116,1601939692338,BQ027-R1,2026-W35,2,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ027,K6116,1601939616762,BQ027-W1,2026-W35,5,0,0%,0,0,Y,,WATCH_D7_CARD_MATCH
BQ028,7212,1601939705262,BQ028-O1,2026-W35,0,0,0%,1,0,Y,DIRECT_VISIT_US,PROTECT_DIRECT_VISIT_WAIT_D7
BQ028,7212,1601939625627,BQ028-R1,2026-W35,1,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ028,7212,1601939720204,BQ028-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ031,ZX2116,1601939754004,BQ031-O1,2026-W35,0,0,0%,1,0,Y,DIRECT_VISIT_US,PROTECT_DIRECT_VISIT_WAIT_D7
BQ031,ZX2116,1601939667426,BQ031-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ031,ZX2116,1601939693331,BQ031-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
