source_bq,source_model,product_id,link_code,week_pst,search_impressions,search_clicks,search_ctr,visitors,inquiries,row_id_verified,decision
BQ009,L1026,1601939661419,BQ009-R1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ009,L1026,1601939675350,BQ009-W1,2026-W35,3,0,0%,0,0,Y,SMALL_SAMPLE_WAIT_D7
BQ009,L1026,1601939721165,BQ009-O1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ018,A116,1601939726170,BQ018-W1,2026-W35,1,0,0%,0,0,Y,SMALL_SAMPLE_WAIT_D7
BQ018,A116,1601939641542,BQ018-R1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ018,A116,1601939589890,BQ018-O1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ019,A206,1601939616747,BQ019-W1,2026-W35,1,0,0%,0,0,Y,SMALL_SAMPLE_WAIT_D7
BQ019,A206,1601939602873,BQ019-R1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ019,A206,1601939695286,BQ019-O1,2026-W35,4,1,25%,1,0,Y,PROTECT_POSITIVE_SIGNAL_ANALYZE_CONVERSION
BQ023,A505,1601939722180,BQ023-W1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ023,A505,1601939616754,BQ023-R1,2026-W35,1,0,0%,0,0,Y,SMALL_SAMPLE_WAIT_D7
BQ023,A505,1601939752005,BQ023-O1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ025,A1689,1601939612707,BQ025-W1,2026-W35,1,0,0%,0,0,Y,SMALL_SAMPLE_WAIT_D7
BQ025,A1689,1601939751016,BQ025-R1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
BQ025,A1689,1601939733108,BQ025-O1,2026-W35,0,0,0%,0,0,N,NO_SAMPLE_WAIT_D7
