label,asset_id,source_file,normalized_file,width,height,source_sha256,source_url
M01,1e266761b02f82e2,1e266761b02f82e2.jpg!bac,M01.jpg,790,790,d7ae5e401537c37c15cb9da87dd0e7e89fcb43315f46945dbba2dbac895acc72,https://images.xiecdn.com/shunheng/faq82h47kfsvwp2g3u6vdg1xmd6aqcq1.jpg!bac
M02,c1e95bfcc0e22002,c1e95bfcc0e22002.jpg!bac,M02.jpg,800,800,a84be999b1c84d02e6ac9f94bb45586046536767c0192544fe31cda075b11c30,https://images.xiecdn.com/shunheng/kwzxfhzabmsea81supskdysdb72x8pnv.jpg!bac
M03,00ceb7acebbc99dd,00ceb7acebbc99dd.jpg!bac,M03.jpg,800,800,a892269a1228afef141969f84257271a663f1cbd18c3e008ce1ef00979862efd,https://images.xiecdn.com/shunheng/hwu24zq7wb17dhyyvcu6g1ej3ejn95e1.jpg!bac
M04,a3db3aab5f2fe66a,a3db3aab5f2fe66a.jpg!bac,M04.jpg,800,800,d3243ea9a2f242fc18f5cd868b2a6de870feccb2bd318fb5b71f69181614742d,https://images.xiecdn.com/shunheng/125x33np3b15kz4bhb8j2nxwmidj8ejx.jpg!bac
M05,a6872ce716db3413,a6872ce716db3413.jpg!bac,M05.jpg,800,800,0a342431b79dfbb0fbb53ca811ddcc008d80891dea766f879909824212ea46fe,https://images.xiecdn.com/shunheng/3zi31cwxbd12qmbob5fip2s9dxg0raxd.jpg!bac
D01,b04ccc8599130dc3,b04ccc8599130dc3,D01.jpg,790,790,4e7f58824eaced0be6275b9e411f8301978f46d0fcdb83b3899d2cdc49113b19,https://images.xiecdn.com/shunheng/9ity2r8yivlomtc05sjh9cl0dqii44y4.jpg!/format/webp
D02,233451bf2f8469f5,233451bf2f8469f5,D02.jpg,790,790,798a0c2ebaa51d944309ce20c1c408bd0bf2fcca8cdb2e5aa6590eb83da8eb8d,https://images.xiecdn.com/shunheng/pswhrr23lh6otuaw1lzfmedbp77g11fi.jpg!/format/webp
D03,f40f9213e03a47ec,f40f9213e03a47ec,D03.jpg,750,750,42b18c8d51baadf7ae0d58fe282093e224c6cad49bfa2ab9faab46f5b0ac44ac,https://images.xiecdn.com/shunheng/0onawnvh4m2v69ufh9f2v4sbxu2y9f25.jpg!/format/webp
D04,c8be87f2761358f8,c8be87f2761358f8,D04.jpg,790,790,6cb4261dcd92f06f62186bcdd075daf808801099bdfd52420a34fe7741acc616,https://images.xiecdn.com/shunheng/9s9bibyzq13qbic9a4s3mhpctqe0xntr.jpg!/format/webp
D05,d24e8eea18429fc0,d24e8eea18429fc0,D05.jpg,790,790,408f9fa169af49b3126b4f4ac4634c29b2f9a416b5cc5395f7474dc51ff19a78,https://images.xiecdn.com/shunheng/yvpn8ex8xst0bmlqg7pvwx503g3cl55c.jpg!/format/webp
