code,variant,role,filename,source,staged
BQ001,W1,main_1,bq001w1m1.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1119.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001w1m1.jpg
BQ001,W1,main_2,bq001w1m2.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1120.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001w1m2.jpg
BQ001,W1,main_3,bq001w1m3.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1121.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001w1m3.jpg
BQ001,W1,main_4,bq001w1m4.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1122.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001w1m4.jpg
BQ001,W1,main_5,bq001w1m5.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1124.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001w1m5.jpg
BQ001,W1,main_6,bq001w1m6.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1126.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001w1m6.jpg
BQ001,R1,main_1,bq001r1m1.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1127.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001r1m1.jpg
BQ001,R1,main_2,bq001r1m2.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1128.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001r1m2.jpg
BQ001,R1,main_3,bq001r1m3.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1129.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001r1m3.jpg
BQ001,R1,main_4,bq001r1m4.jpg,C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ001_5.13贝强1数据包\800X800主图\5M4A1130.JPG,C:\Users\spq\Desktop\贝强\02_Alibaba运营\05_扩品工程\多链接引流_2026-08-28\全量三链接_2026-08-28\待上传图片\批次01_BQ001-BQ005\01_上传文件\bq001r1m4.jpg
