left_type,left_code,right_type,right_code,exact_image_matches,near_image_matches,min_dhash_distance_256
candidate,A116-1,candidate,A1888-1,8,8,0
candidate,A1888,candidate,A558,5,5,0
candidate,A018,candidate,A278,4,5,0
candidate,A018,candidate,A1888,4,4,0
candidate,A018,candidate,A558,4,4,0
candidate,A212,candidate,A212-1,4,4,0
candidate,A1888,candidate,A278,3,4,0
candidate,A278,candidate,A558,3,3,0
candidate,18,candidate,A116-1,2,2,0
candidate,18,candidate,A1888-1,2,2,0
candidate,A116-1,candidate,A1689-1,2,2,0
candidate,A1689-1,candidate,A1888-1,2,2,0
candidate,208,existing,BQ022,0,30,0
candidate,2206,existing,BQ019,0,30,0
candidate,7212,existing,BQ028,0,30,0
candidate,8811,existing,BQ006,0,30,0
candidate,A201,existing,BQ016,0,27,0
candidate,689,existing,BQ025,0,24,0
candidate,K6116-1,existing,BQ027,0,10,0
candidate,A018,existing,BQ016,0,3,1
candidate,A1888,existing,BQ016,0,2,1
candidate,A558,existing,BQ016,0,2,1
candidate,ZX2212,existing,BQ001,0,2,1
candidate,A278,existing,BQ016,0,1,1
