product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,1,https://sc04.alicdn.com/kf/Hf86a6c5509754eb5b3a3cf88e40690b3o.jpg,320,320,0.86,0.51,0.4386,0.2672,,
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,2,https://sc04.alicdn.com/kf/H7196dba6ae3640f883134c6febeeab24t.jpg,320,320,0.92,0.915,0.8418,0.2215,,
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,3,https://sc04.alicdn.com/kf/Hadd52dc55814404db8a74c19b90c4409c.jpg,320,320,1.0,1.0,1.0,0.7381,,
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,4,https://sc04.alicdn.com/kf/H97af2ef343634e7cbc0a91a9daac8883Y.jpg,320,320,0.9125,0.915,0.8349,0.2226,,
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,5,https://sc04.alicdn.com/kf/H94830f98fbe548f1a98cd90cf0dc7d4dF.jpg,320,320,0.8775,0.9275,0.8139,0.1232,,
1,10000043732626,AAFkjmk4AOWGexecDTURi-lx,BQ-014,2026 New Slip-On Knit Walking Shoes A507 Stretch Fabric Breathable Mesh Solid Spring Chunky EVA Sole Casual Sneakers OEM ODM,modified,N,6,https://sc04.alicdn.com/kf/H9fdb4293cdf542f88ff17b487b1a0d13E.jpg,320,320,0.82,0.915,0.7503,0.2302,,
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,1,https://sc04.alicdn.com/kf/H0ff14ba2593c42e98c1611b0543ece54j.jpg,320,320,0.86,0.68,0.5848,0.3433,,
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,2,https://sc04.alicdn.com/kf/Hdc031a497a614308a4809a400861caecb.jpg,320,320,0.8025,0.7825,0.628,0.6094,,
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,3,https://sc04.alicdn.com/kf/Hcdfee647aba74bd99675cd1b54bd1340A.jpg,320,320,0.95,0.785,0.7458,0.7403,,
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,4,https://sc04.alicdn.com/kf/Hd60882066d24464eafea16dcc899492cr.jpg,320,320,0.95,0.755,0.7173,0.538,,
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,5,https://sc04.alicdn.com/kf/H2cb506a8036a46eab61494127ea7ee06j.jpg,320,320,0.9,0.9175,0.8257,0.3391,,
2,10000047221334,AAEmjmk4AOWGexecDTURxS21,BQ044 / 811,Wholesale Model 811 Breathable Light Weight Knit Lace-Up Casual Walking Shoes Rubber-Plastic Sole EU 35-45,modified,N,6,https://sc04.alicdn.com/kf/H6bb4411cb0564379ab14ae842f2e5308u.jpg,320,320,0.9025,0.8725,0.7874,0.7848,,
