product_index,product_id,encrypted_product_id,model,title,status,display,image_position,url,width,height,occupancy_width,occupancy_height,occupancy_box_area,occupancy_ink,risk,reference_distance
1,1601939651515,AAF2jmk4AOWGex-cDVm7jTxY,BQ032-W1 / ZX2212,Wholesale Regular Fit Knit Lace-Up Casual Walking Shoes Large Size Factory Supply Model ZX2212,approved,Y,1,https://sc04.alicdn.com/kf/Sf849ce3cd2aa4cb68306c62b3c21baadf.jpg,320,320,0.82,0.385,0.3157,0.209,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,72
2,12000003229472,AAHcjmk4AOWGexScDcS3aADD,DZ14546082-A,OEM Breathable Mesh Chunky Walking Shoes Lightweight Cushioned Lace-Up Casual Sneakers EU 36-45,approved,Y,1,https://sc04.alicdn.com/kf/Af93deb2bf62f486296b993a44c1d9492B.png,320,320,0.9525,0.7875,0.7501,0.4772,LOW_RESOLUTION,121
3,1601939751023,AAGyjmk4AOWGex-cDVm7iseM,BQ032-R1 / ZX2212,Regular Fit Knit Lace-Up Casual Walking Shoes Large Size for Large Size Daily Walking and Casual Wear Model ZX2212,approved,Y,1,https://sc04.alicdn.com/kf/Sffb2ded9b1374897ba85ef82c6d4161eg.jpg,320,320,0.8225,0.3675,0.3023,0.2011,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,59
4,1601939722196,AAFejmk4AOWGex-cDVm7ikg3,BQ032-O1 / ZX2212,Custom Logo Regular Fit Knit Lace-Up Casual Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2212,approved,Y,1,https://sc04.alicdn.com/kf/S3bdd33085efc4671a99fd2df7ca64f03T.jpg,320,320,0.8225,0.395,0.3249,0.21,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,55
5,1601939693331,AAGqjmk4AOWGex-cDVm7jdjw,BQ031-W1 / ZX2116,Wholesale Wide Toe Box Knit Lace-Up Walking Shoes Large Size Factory Supply Model ZX2116,approved,Y,1,https://sc04.alicdn.com/kf/S1f966b8e448444349ed38518718a73f3P.jpg,320,320,0.82,0.3925,0.3219,0.2166,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,58
6,1601939667426,AAFhjmk4AOWGex-cDVm7jX4B,BQ031-R1 / ZX2116,Wide Toe Box Knit Lace-Up Walking Shoes Large Size for Wide Fit Daily Walking Model ZX2116,approved,Y,1,https://sc04.alicdn.com/kf/S1c996f7849634717932581493a6a7d95m.jpg,320,320,0.82,0.4,0.328,0.2069,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,70
7,1601939672381,AAHKjmk4AOWGex-cDVm7jYre,BQ030-W1 / A811,Wholesale Kids Knit Lace-Up Walking Shoes Factory Supply Model A811,approved,Y,1,https://sc04.alicdn.com/kf/S1f8c34ec59fb44f9b697521a5624f72e1.jpg,320,320,0.82,0.455,0.3731,0.2403,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,61
8,1601939754004,AAGhjmk4AOWGex-cDVm7isv3,BQ031-O1 / ZX2116,Custom Logo Wide Toe Box Knit Lace-Up Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2116,approved,Y,1,https://sc04.alicdn.com/kf/S7cba24d9f6744d129c97b8530ea85f69Q.jpg,320,320,0.8225,0.3325,0.2735,0.1646,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,0
9,1601939679363,AAHxjmk4AOWGex-cDVm7ja9g,BQ030-R1 / A811,Kids Knit Lace-Up Walking Shoes for Kids School and Daily Walking Model A811,approved,Y,1,https://sc04.alicdn.com/kf/Se6f7a88bf0814211a0583bce9bbb684ef.jpg,320,320,0.8175,0.455,0.372,0.2147,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,68
10,1601939615744,AAH7jmk4AOWGex-cDVm7jLfj,BQ030-O1 / A811,Custom Logo Kids Knit Lace-Up Walking Shoes OEM ODM Private Label Footwear Supplier Model A811,approved,Y,1,https://sc04.alicdn.com/kf/S2d7798ce7e974e94ac02f9ff94a1e5f2s.jpg,320,320,0.7775,0.68,0.5287,0.271,LOW_RESOLUTION,94
11,1601939607770,AAExjmk4AOWGex-cDVm7jJc5,BQ029-R1 / A025,High Top Knit Slip-On Walking Shoes for Autumn Winter Casual Walking Model A025,approved,Y,1,https://sc04.alicdn.com/kf/S2493e32677334553bc9c0356f9379316i.jpg,320,320,0.7825,0.68,0.5321,0.2944,LOW_RESOLUTION,94
12,1601939749045,AAH0jmk4AOWGex-cDVm7ir9W,BQ029-W1 / A025,Wholesale High Top Knit Slip-On Walking Shoes Factory Supply Model A025,approved,Y,1,https://sc04.alicdn.com/kf/S716722739cef479e8c693350a381d7fa9.jpg,320,320,0.8175,0.555,0.4537,0.2454,LOW_RESOLUTION,78
13,1601939721228,AAEZjmk4AOWGex-cDVm7ikvv,BQ029-O1 / A025,Custom Logo High Top Knit Slip-On Walking Shoes OEM ODM Private Label Footwear Supplier Model A025,approved,Y,1,https://sc04.alicdn.com/kf/Sf364c6fd585d4c00bad63b289a856b6fI.jpg,320,320,0.7825,0.6825,0.5341,0.2949,LOW_RESOLUTION,92
14,1601939720204,AAEdjmk4AOWGex-cDVm7ik_v,BQ028-W1 / BISCUIT,Wholesale Knit Slip-On Biscuit Sole Casual Walking Shoes Factory Supply Model BISCUIT,approved,Y,1,https://sc04.alicdn.com/kf/S9b94962d041f4cf6b9b6a9ad6b38e29dv.jpg,320,320,0.82,0.3775,0.3095,0.1635,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,46
15,1601939625627,AAEqjmk4AOWGex-cDVm7jNF4,BQ028-R1 / BISCUIT,Knit Slip-On Biscuit Sole Casual Walking Shoes for Travel Commuting and Daily Wear Model BISCUIT,approved,Y,1,https://sc04.alicdn.com/kf/Sa7c186853aed4728b7ad2149661fb385S.jpg,320,320,0.82,0.37,0.3034,0.1611,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,78
16,1601939705262,AAE2jmk4AOWGex-cDVm7igpN,BQ028-O1 / BISCUIT,Custom Logo Knit Slip-On Biscuit Sole Casual Walking Shoes OEM ODM Private Label Footwear Supplier Model BISCUIT,approved,Y,1,https://sc04.alicdn.com/kf/S37ecefa5595d4998a9b687b78fcdcf2dI.jpg,320,320,0.5325,0.6825,0.3634,0.1696,LOW_RESOLUTION,80
17,1601939616762,AAGujmk4AOWGex-cDVm7jLQZ,BQ027-W1 / K6116,Wholesale Knit Lace Detail Casual Walking Shoes Factory Supply Model K6116,approved,Y,1,https://sc04.alicdn.com/kf/Sd22844ef0e374cd998061ead5e5163422.jpg,320,320,0.81,0.46,0.3726,0.2011,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,69
18,1601939692338,AAGPjmk4AOWGex-cDVm7jdzR,BQ027-R1 / K6116,Knit Lace Detail Casual Walking Shoes for Daily Walking and Casual Wear Model K6116,approved,Y,1,https://sc04.alicdn.com/kf/Sdf81094251c045669db57fc61d6a98afN.jpg,320,320,0.81,0.545,0.4415,0.248,LOW_RESOLUTION,80
19,1601939703288,AAH8jmk4AOWGex-cDVm7igIb,BQ027-O1 / K6116,Custom Logo Knit Lace Detail Casual Walking Shoes OEM ODM Private Label Footwear Supplier Model K6116,approved,Y,1,https://sc04.alicdn.com/kf/S922da32153cf454eaf09f6d0dc395056X.jpg,320,320,0.82,0.475,0.3895,0.2352,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,65
20,1601939745065,AAHXjmk4AOWGex-cDVm7iq7K,BQ026-W1 / T5828,Wholesale Knit Lace-Up Walking Shoes Casual Shoes Factory Supply Model T5828,approved,Y,1,https://sc04.alicdn.com/kf/S4f64323e6de545299bf20d9e537afa747.jpg,320,320,0.82,0.375,0.3075,0.1885,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,79
21,1601939714238,AAFzjmk4AOWGex-cDVm7ijdd,BQ026-O1 / T5828,Custom Logo Knit Lace-Up Walking Shoes Casual Shoes OEM ODM Private Label Footwear Supplier Model T5828,approved,Y,1,https://sc04.alicdn.com/kf/S867c7d41008a41e2b61f6f0ab6e9051aa.jpg,320,320,0.75,0.6825,0.5119,0.2283,LOW_RESOLUTION,74
22,1601939725201,AAEtjmk4AOWGex-cDVm7ilxy,BQ026-R1 / T5828,Knit Lace-Up Walking Shoes Casual Shoes for Daily Walking and Casual Wear Model T5828,approved,Y,1,https://sc04.alicdn.com/kf/S547b4f21e59148438a7b091f0f01ab65R.jpg,320,320,0.8225,0.4125,0.3393,0.1878,P0_LOW_HERO_OCCUPANCY|LOW_RESOLUTION,59
