"sku","file_name","full_path","duration_seconds","width","height","orientation","video_codec","frame_rate","has_audio","audio_codec","bytes","sha256"
"BQ003","3.23贝强-1-1.mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ003_R1218_贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\3.23贝强-1-1.mp4","26.912","1080","1080","square","h264","30/1","True","aac","33761843","25D1444FB96D47CDFEC4908016E91C1E805748B5A1486DEC35A17E8D8017D43D"
"BQ003","3.23贝强-3-4.mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ003_R1218_贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\3.23贝强-3-4.mp4","26.912","1080","1440","portrait","h264","30/1","True","aac","33623589","C31F2ACCBBDA3443FD844D5C3F762E15B4275EFB5075801B8799AFCB0FDF45C4"
"BQ003","3.23贝强.mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ003_R1218_贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\3.23贝强.mp4","26.912","1080","1920","portrait","h264","30/1","True","aac","32918723","25374D3082160D42D4FE65A80F7B550BD05B7001025A7945CA3DC33F5CBA7477"
"BQ003","6M.mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ003_R1218_贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\6M.mp4","26.912","1080","1920","portrait","h264","60/1","True","aac","4655420","2349586B97DD7CC11CFE7485CC3CAB495B8A4BDD6A6A6B2C204B6DB0659814E9"
"BQ004","3.12贝强2-1-1.mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ004_A502_贝强鞋业A502新款35-45批55元\贝强鞋业A502新款35-45批55元\3.12贝强2-1-1.mp4","28.351","1080","1080","square","h264","30/1","True","aac","32973323","1F280BEC16950600A7BD66AE48A08E6129BFE8FE7C9E37BC03801C59D6003ED2"
"BQ004","706a5d510e778d5bc851ad9299018717.mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ004_A502_贝强鞋业A502新款35-45批55元\贝强鞋业A502新款35-45批55元\706a5d510e778d5bc851ad9299018717.mp4","28.4","1280","720","landscape","h264","30/1","True","aac","6157844","25CF20A4E9CB63D3D220BF664A700C10CC78FCA30FB8F07079450A677AE4E67F"
"BQ005","5月12日 (3).mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ005_A503_贝强鞋业A503夏季镂空男女鞋35-45批55元\贝强鞋业A503夏季镂空男女鞋35-45批55元\5月12日 (3).mp4","31.672","1440","2560","portrait","h264","30/1","True","aac","55684700","8350E1723BF68BE5F3BED21D328C75255BFE70806E6D1BCCA8FBA0B509E96034"
"BQ005","5月12日 (3)(1).mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ005_A503_贝强鞋业A503夏季镂空男女鞋35-45批55元\贝强鞋业A503夏季镂空男女鞋35-45批55元\5月12日 (3)(1).mp4","31.672","1440","1920","portrait","h264","30/1","True","aac","56386353","2CC1C91CDF332A4737FB7C5D4A1AD2F18029A21CB9D464FD75D26150F32B2B9D"
"BQ005","5月17日.mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ005_A503_贝强鞋业A503夏季镂空男女鞋35-45批55元\贝强鞋业A503夏季镂空男女鞋35-45批55元\5月17日.mp4","31.672","480","640","portrait","h264","30/1","True","aac","4325795","A9A209704156ECAD06F94BC77FA68776B5519B53C955969B218EC82D4941C889"
"BQ005","5月17日(1).mp4","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ005_A503_贝强鞋业A503夏季镂空男女鞋35-45批55元\贝强鞋业A503夏季镂空男女鞋35-45批55元\5月17日(1).mp4","31.672","480","480","square","h264","30/1","True","aac","3816033","026DDB649E824C20BC94F176DC072C7974EF2F3404FEA7E741D51D802490BD90"
