"sku","unique_video_count","landscape","square","portrait","total_duration_seconds"
"BQ003","4","0","1","3","107.65"
"BQ004","2","1","1","0","56.75"
"BQ005","5","0","1","4","158.36"
"BQ006","1","0","1","0","37.15"
"BQ007","9","6","3","0","250.98"
"BQ008","9","0","3","6","249.73"
"BQ009","4","0","1","3","112.1"
"BQ010","1","0","0","1","38.99"
"BQ011","2","0","2","0","62.21"
"BQ012","2","1","1","0","58.56"
"BQ013","1","1","0","0","29.37"
"BQ014","3","2","1","0","89.44"
"BQ015","3","2","1","0","87.56"
"BQ016","2","0","2","0","72.52"
"BQ017","1","1","0","0","29.49"
"BQ018","1","0","1","0","30.49"
"BQ019","2","0","2","0","58.3"
"BQ020","1","1","0","0","29.49"
"BQ021","2","0","2","0","67.15"
"BQ022","4","0","4","0","118.79"
"BQ023","6","0","2","4","185.29"
"BQ025","2","0","2","0","60.3"
"BQ026","3","2","1","0","83.8"
"BQ027","1","0","1","0","35.97"
"BQ028","1","0","1","0","30.79"
"BQ029","2","0","2","0","53.41"
