"sku","file_name","duration_seconds","width","height","orientation","has_audio","full_path"
"BQ003","3.23贝强-1-1.mp4","26.912","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ003_R1218_贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\贝强鞋业2026夏季R1218镂空包头板鞋35-45批55元\3.23贝强-1-1.mp4"
"BQ004","3.12贝强2-1-1.mp4","28.351","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ004_A502_贝强鞋业A502新款35-45批55元\贝强鞋业A502新款35-45批55元\3.12贝强2-1-1.mp4"
"BQ005","5月17日(1).mp4","31.672","480","480","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ005_A503_贝强鞋业A503夏季镂空男女鞋35-45批55元\贝强鞋业A503夏季镂空男女鞋35-45批55元\5月17日(1).mp4"
"BQ006","7月30日 (37).mp4","37.152","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ006_M8811_贝强鞋业秋冬季新款M8811男女鞋35-45批58元\贝强鞋业秋冬季新款M8811男女鞋35-45批58元\7月30日 (37).mp4"
"BQ007","12.4贝强3-1-1.mp4","28.909","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ007_L0017_贝强鞋业35-45批65全网限价98\L0017贝强鞋业35-45批65全网限价98\12.4贝强3-1-1.mp4"
"BQ008","12.15贝强混剪-1-1.mp4","28.885","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ008_L1009_贝强鞋业36-45批68限价108元\L1009贝强鞋业36-45批68限价108元\12.15贝强混剪-1-1.mp4"
"BQ009","1.6贝强2-1-1.mp4","26.006","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ009_L1026_贝强鞋业35-45批65全网限价98元\L1026贝强鞋业35-45批65全网限价98元\1.6贝强2-1-1.mp4"
"BQ010","4月15日 (40)(1).mp4","38.986","1080","1440","portrait","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ010_R1601_贝强鞋业R1601款包头帆布板鞋35-45批55元\贝强鞋业R1601款包头帆布板鞋35-45批55元\4月15日 (40)(1).mp4"
"BQ011","3月6日 (6)_batch.mp4","31.138","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ011_A002_A002贝强工厂店一脚蹬男鞋39-45批58元\A002贝强工厂店一脚蹬男鞋39-45批58元\3月6日 (6)_batch.mp4"
"BQ012","4.3贝强-1-1.mp4","29.28","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ012_M8506_M8506贝强新款35-45批58元\M8506贝强新款35-45批58元\4.3贝强-1-1.mp4"
"BQ013","视频.mp4","29.373","1920","1080","landscape","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ013_T55836_T55836贝强鞋业2025新款批53元\贝强鞋业2025新款T55836批53元\视频.mp4"
"BQ014","8.8贝强1-1.mp4","29.814","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ014_A507_贝强鞋业A507闪穿鞋35-45秋冬新款批55元\A507\8.8贝强1-1.mp4"
"BQ015","8.20贝强1-1.mp4","29.187","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ015_R1811_贝强鞋业R1811秋冬新款35-45批58元\贝强鞋业R1811秋冬新款35-45批58元\8.20贝强1-1.mp4"
"BQ016","1_batch(2).mp4","36.293","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ016_201_201贝强工厂店秋季一脚蹬女鞋童鞋31-40批50元\201贝强工厂店秋季一脚蹬女鞋童鞋31-40批50元\1_batch(2).mp4"
"BQ017","10.25-2.mp4","29.489","1920","1080","landscape","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ017_A008_2024贝强鞋业A008套袜一脚蹬男女鞋35-45批55元\贝强鞋业A008套袜一脚蹬男女鞋35-45批55元\10.25-2.mp4"
"BQ018","0627006.mp4","30.488","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ018_A116_A116贝强工厂店多走路男鞋35-45批55元\±´Ç¿Êý¾Ý°ü¸Ä\0627006.mp4"
"BQ019","3月2日 (48)_batch.mp4","29.187","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ019_A206_A206情侣鞋图片\A206情侣鞋图片\3月2日 (48)_batch.mp4"
"BQ020","视频.mp4","29.489","1920","1080","landscape","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ020_A218_A218贝强鞋业夏季透孔一脚蹬男女鞋35-45批55元\A218贝强鞋业夏季透孔一脚蹬男女鞋35-45批55元\视频.mp4"
"BQ021","9月14日 (13).mp4","33.576","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ021_K6212_贝强鞋业K6212款35-45批53元\贝强鞋业K6212款35-45批53元\9月14日 (13).mp4"
"BQ022","1_batch(1).mp4","29.791","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ022_A2208_补充_A2208\A2208\1_batch(1).mp4"
"BQ023","5月12日 (4)(2).mp4","30.882","1440","1440","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ023_A505_A505数据包\A505数据包\5月12日 (4)(2).mp4"
"BQ025","3月2日 (47)_batch.mp4","30.186","1080","1080","square","True","C:\Users\spq\Desktop\贝强\01_产品资产\01_原始数据包\已整理_BQ025_A1689_A1689情侣鞋图片\A1689情侣鞋图片\3月2日 (47)_batch.mp4"
