"sku","assignment","video_path","status","note"
"BQ001","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ002","full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\Beiqiang_Factory_Full_Clean_Actual_Footage_20260828.mp4","reuse universal factory film","No verified real product video in the current package."
"BQ003","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ003_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ004","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ004_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ005","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ005_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ006","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ006_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ007","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ007_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ008","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ008_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ009","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ009_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ010","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ010_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ011","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ011_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ012","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ012_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ013","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ013_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ014","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ014_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ015","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ015_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
"BQ016","real product footage + full factory footage","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ016_Real_Product_And_Full_Factory_20260828.mp4","generated","Real moving product footage; no slideshow."
