"sku","file","duration_seconds","width","height","fps","video_codec","audio_codec","size_mb","qa_status","issues"
"BQ003","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ003_Real_Product_And_Full_Factory_20260828.mp4","94.912","1920","1080","30/1","h264","aac","43.01","PASS",""
"BQ004","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ004_Real_Product_And_Full_Factory_20260828.mp4","96.367","1920","1080","30/1","h264","aac","39.08","PASS",""
"BQ005","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ005_Real_Product_And_Full_Factory_20260828.mp4","99.672","1920","1080","30/1","h264","aac","44.73","PASS",""
"BQ006","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ006_Real_Product_And_Full_Factory_20260828.mp4","105.167","1920","1080","30/1","h264","aac","50.36","PASS",""
"BQ007","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ007_Real_Product_And_Full_Factory_20260828.mp4","96.909","1920","1080","30/1","h264","aac","41.92","PASS",""
"BQ008","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ008_Real_Product_And_Full_Factory_20260828.mp4","96.9","1920","1080","30/1","h264","aac","40.55","PASS",""
"BQ009","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ009_Real_Product_And_Full_Factory_20260828.mp4","94.006","1920","1080","30/1","h264","aac","42.55","PASS",""
"BQ010","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ010_Real_Product_And_Full_Factory_20260828.mp4","107","1920","1080","30/1","h264","aac","41.39","PASS",""
"BQ011","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ011_Real_Product_And_Full_Factory_20260828.mp4","99.138","1920","1080","30/1","h264","aac","43.23","PASS",""
"BQ012","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ012_Real_Product_And_Full_Factory_20260828.mp4","97.28","1920","1080","30/1","h264","aac","38.04","PASS",""
"BQ013","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ013_Real_Product_And_Full_Factory_20260828.mp4","97.373","1920","1080","30/1","h264","aac","40.93","PASS",""
"BQ014","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ014_Real_Product_And_Full_Factory_20260828.mp4","97.814","1920","1080","30/1","h264","aac","39.93","PASS",""
"BQ015","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ015_Real_Product_And_Full_Factory_20260828.mp4","97.2","1920","1080","30/1","h264","aac","38.92","PASS",""
"BQ016","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ016_Real_Product_And_Full_Factory_20260828.mp4","104.3","1920","1080","30/1","h264","aac","45.96","PASS",""
"BQ017","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ017_Real_Product_And_Full_Factory_20260828.mp4","97.5","1920","1080","30/1","h264","aac","52.37","PASS",""
"BQ018","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ018_Real_Product_And_Full_Factory_20260828.mp4","98.5","1920","1080","30/1","h264","aac","48.25","PASS",""
"BQ019","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ019_Real_Product_And_Full_Factory_20260828.mp4","97.2","1920","1080","30/1","h264","aac","44.45","PASS",""
"BQ020","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ020_Real_Product_And_Full_Factory_20260828.mp4","97.5","1920","1080","30/1","h264","aac","45.12","PASS",""
"BQ021","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ021_Real_Product_And_Full_Factory_20260828.mp4","101.576","1920","1080","30/1","h264","aac","43.68","PASS",""
"BQ022","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ022_Real_Product_And_Full_Factory_20260828.mp4","97.8","1920","1080","30/1","h264","aac","41.14","PASS",""
"BQ023","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ023_Real_Product_And_Full_Factory_20260828.mp4","98.882","1920","1080","30/1","h264","aac","43.29","PASS",""
"BQ025","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ025_Real_Product_And_Full_Factory_20260828.mp4","98.2","1920","1080","30/1","h264","aac","42.61","PASS",""
"BQ026","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ026_Real_Product_And_Full_Factory_20260828.mp4","95.933","1920","1080","30/1","h264","aac","37.87","PASS",""
"BQ027","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ027_Real_Product_And_Full_Factory_20260828.mp4","103.967","1920","1080","30/1","h264","aac","55.69","PASS",""
"BQ028","C:\Users\spq\Desktop\贝强\05_内容与视频\01_贝强商品视频\alibaba_real_video_batch_20260828\edit\final\BQ028_Real_Product_And_Full_Factory_20260828.mp4","98.8","1920","1080","30/1","h264","aac","44.23","PASS",""
